[27-Oct-2025 22:12:04 America/New_York] PHP Deprecated:  session_set_save_handler(): Providing individual callbacks instead of an object implementing SessionHandlerInterface is deprecated in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_session.php on line 119
[27-Oct-2025 22:12:14 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $httplogger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:22 America/New_York] PHP Deprecated:  session_set_save_handler(): Providing individual callbacks instead of an object implementing SessionHandlerInterface is deprecated in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_session.php on line 119
[27-Oct-2025 22:12:22 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $logger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:22 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $httplogger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:23 America/New_York] PHP Deprecated:  session_set_save_handler(): Providing individual callbacks instead of an object implementing SessionHandlerInterface is deprecated in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_session.php on line 119
[27-Oct-2025 22:12:23 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $logger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:23 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $httplogger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:23 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Account::__construct(): Implicitly marking parameter $baseUrl as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Account.php on line 92
[27-Oct-2025 22:12:34 America/New_York] PHP Deprecated:  session_set_save_handler(): Providing individual callbacks instead of an object implementing SessionHandlerInterface is deprecated in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_session.php on line 119
[27-Oct-2025 22:12:34 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $logger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:34 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $httplogger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:35 America/New_York] PHP Deprecated:  session_set_save_handler(): Providing individual callbacks instead of an object implementing SessionHandlerInterface is deprecated in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_session.php on line 119
[27-Oct-2025 22:12:35 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $logger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:35 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $httplogger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:35 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Account::__construct(): Implicitly marking parameter $baseUrl as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Account.php on line 92
[27-Oct-2025 22:12:45 America/New_York] PHP Deprecated:  session_set_save_handler(): Providing individual callbacks instead of an object implementing SessionHandlerInterface is deprecated in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_session.php on line 119
[27-Oct-2025 22:12:45 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $logger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:45 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $httplogger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:45 America/New_York] PHP Deprecated:  session_set_save_handler(): Providing individual callbacks instead of an object implementing SessionHandlerInterface is deprecated in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_session.php on line 119
[27-Oct-2025 22:12:45 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $logger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:45 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $httplogger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:45 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Account::__construct(): Implicitly marking parameter $baseUrl as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Account.php on line 92
[27-Oct-2025 22:12:50 America/New_York] PHP Deprecated:  session_set_save_handler(): Providing individual callbacks instead of an object implementing SessionHandlerInterface is deprecated in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_session.php on line 119
[27-Oct-2025 22:12:50 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $logger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:50 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $httplogger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:50 America/New_York] PHP Deprecated:  session_set_save_handler(): Providing individual callbacks instead of an object implementing SessionHandlerInterface is deprecated in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_session.php on line 119
[27-Oct-2025 22:12:50 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $logger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:50 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $httplogger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:50 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Account::__construct(): Implicitly marking parameter $baseUrl as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Account.php on line 92
[27-Oct-2025 22:12:52 America/New_York] PHP Deprecated:  session_set_save_handler(): Providing individual callbacks instead of an object implementing SessionHandlerInterface is deprecated in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_session.php on line 119
[27-Oct-2025 22:12:52 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $logger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:52 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $httplogger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:52 America/New_York] PHP Deprecated:  session_set_save_handler(): Providing individual callbacks instead of an object implementing SessionHandlerInterface is deprecated in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_session.php on line 119
[27-Oct-2025 22:12:52 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $logger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:52 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $httplogger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:12:52 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Account::__construct(): Implicitly marking parameter $baseUrl as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Account.php on line 92
[27-Oct-2025 22:13:05 America/New_York] PHP Deprecated:  session_set_save_handler(): Providing individual callbacks instead of an object implementing SessionHandlerInterface is deprecated in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_session.php on line 119
[27-Oct-2025 22:13:05 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $logger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:13:05 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $httplogger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:13:05 America/New_York] PHP Deprecated:  session_set_save_handler(): Providing individual callbacks instead of an object implementing SessionHandlerInterface is deprecated in /usr/local/cpanel/base/3rdparty/roundcube/program/lib/Roundcube/rcube_session.php on line 119
[27-Oct-2025 22:13:05 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $logger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:13:05 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Config::init(): Implicitly marking parameter $httplogger as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Config.php on line 72
[27-Oct-2025 22:13:05 America/New_York] PHP Deprecated:  MStilkerich\CardDavClient\Account::__construct(): Implicitly marking parameter $baseUrl as nullable is deprecated, the explicit nullable type must be used instead in /usr/local/cpanel/base/3rdparty/roundcube/plugins/carddav/vendor/mstilkerich/carddavclient/src/Account.php on line 92
